CodigoRegistroPatronal,FechaInicio,Valor,
Asie,2014-07-01,0.5,
Asie,2014-03-01,2,
Butler Monterrey,2015-01-01,2.5984,
Butler Saltilo,2015-10-01,2.5964,
Butler Saltilo,2015-01-01,0.54355,
Ceox,2016-04-20,0.50948,
Ceox,2015-06-01,0.85319,
Ceox,2014-07-01,0.54355,
Crinbar Monterrey,2015-01-01,1.13065,
Crinbar Saltillo,2015-06-01,2.5984,
Crinbar Saltillo,2015-01-01,1.13065,
Digitalizacion,2014-06-16,0.66351,
Digitalizacion,2014-03-01,0.5,
Diseño General De Negocios,2015-06-01,1.25967,
Diseño General De Negocios,2014-06-16,1.1616,
Diseño General De Negocios,2014-03-01,0.54355,
Gamat,2015-01-01,7.58875,
Instituto Kelly,2016-04-16,0.5,
Instituto Kelly,2015-05-01,0.69727,
Instituto Kelly,2014-07-01,0.5,
Kcl Torreon,2016-03-01,2.65325,
Kcl Torreon,2014-06-16,4.65325,
Klcmty,2016-03-01,1.65325,
Klcmty,2014-06-16,3.65325,
Klcmty,2014-03-01,3.65325,
Klcmty,2012-08-05,0.54355,
Link Mexico,2015-07-01,0.68888,
Link Mexico,2014-08-01,0.57882,
Link Sal,2016-03-01,1.17737,
Link Sal,2015-06-01,0.60377,
Movimientos Mexico,2015-07-01,0.54355,
Movimientos Monterrey,2016-03-01,1.4589,
Movimientos Monterrey,2015-01-01,0.54355,
Movimientos Saltillo,2015-03-16,0.54355,
Orbe Mty,2016-04-18,0.75125,
Orbe Mty,2014-06-16,1.54355,
Orbe Mty,2014-05-01,1.54355,
Orbe Sal,2016-03-01,1.5984,
Orbe Sal,2015-06-01,0.95237,
Orbe Sal,2014-07-01,0.69008,
Pysmty,2016-03-01,1.58875,
Pysmty,2014-06-16,3.58875,
Pysmty,2014-03-01,3.58875,
Pyssal,2016-03-01,2.58875,
Pyssal,2014-06-16,4.58875,
Pyssal,2014-03-01,4.58875,
Sain Mexico,2016-01-01,0.54355,
Sain Mty,2016-03-01,1.06511,
Sain Mty,2014-07-01,0.63632,
Sain Sal,2016-03-01,0.60695,
Sain Sal,2015-08-01,1.13065,
Sain Sal,2014-01-01,0.5,
Soluciones,2014-07-01,0.5,
Srn Reclutamiento,2014-07-01,0.66178,
